0 cycle	0.010287797595687646
1 cycle	0.0169711331076245
2 cycle	0.027902889009115358
3 cycle	0.046969119484904884
4 cycle	0.0796549735736101
5 cycle	0.13321606725687718
6 cycle	0.21273225160042764
7 cycle	0.3191925655452278
8 cycle	0.4352142347465538
9 cycle	0.5396844833367719
10 cycle	0.6187236379575904
11 cycle	0.6720923518582121
12 cycle	0.7078062997572818
13 cycle	0.731129839822225
14 cycle	0.747450249624984
15 cycle	0.7592893153561732
16 cycle	0.7686196858965478
17 cycle	0.7770432800696898
18 cycle	0.7841562349766654
