listID	  BCID	TAG	 k	 a	 b	 s_mean	 s_var	 log_normalization 	 log_prob_survive_cummulated	 Rhat_cellnum	 Rhat_selection
0	 21	Adaptive	15.492267324921473	 843.0697158204049	 0.11166850355005942	 0.5231720465841312	 0.019664237254932868	 -4.564916823080496	 -1.4291004077390187e-05	0.9997603341327551	 0.9999459629685261
1	 49	Adaptive	8.290631137919021	 274.53259930111966	 0.13010988500271278	 0.5240159129948089	 0.0484754234569858	 -4.611800203503332	 -0.009964458308240411	0.9997220111930338	 0.9997794090643273
3	 91	Adaptive	19.944135399290584	 1469.7350930940738	 0.12568911141858838	 0.5188154347188206	 0.01307654301145169	 -5.249185613439256	 -3.4363102422640437e-09	0.9999420914276471	 0.9996899350840561
4	 92	Adaptive	27.360010551363942	 2147.1575044555634	 0.10663420184761752	 0.587196848278941	 0.011927088600232361	 -5.210912473752499	 -1.3109758871826103e-07	1.0000293893016379	 0.9997245513274952
2	 61	Adaptive	28.077267027989517	 2379.704659297788	 0.13774329214577624	 0.40811767274439636	 0.007549073550008092	 -4.923783197320809	 -2.049097257328061e-08	0.9998955908629091	 0.9997590814482391
9	 169	Adaptive	18.93121842380664	 1093.807631322459	 0.1332992976887123	 0.4081245913198518	 0.013445432156107882	 -4.864802366864005	 -3.5740064244429627e-07	1.0007413729068257	 1.001065320129199
11	 188	Adaptive	17.747964044353942	 1037.29093526053	 0.11340282630513049	 0.5431229124538869	 0.019632336744195473	 -4.501162247836504	 -5.0355164610761065e-05	1.000021270022924	 0.9998157079614157
13	 1740	Adaptive	9.148349000368983	 277.358597155047	 0.12042020882671393	 0.5735872148452599	 0.05719072408652982	 -4.322159826793783	 -0.012980213990348764	0.9999262208311768	 0.9996301995635164
8	 158	Adaptive	28.197906570387687	 3179.244474824903	 0.13150415555649198	 0.6141574564660536	 0.009633137288352365	 -5.340063048275145	 -1.8526469249320076e-10	1.0003142914172103	 1.0018818598270596
6	 136	Adaptive	26.87539829242164	 2605.905646498842	 0.150959296404799	 0.42886802344363384	 0.006883526042503708	 -6.201724138106148	 -8.187894806613882e-13	1.0000995885955142	 1.0009913878840746
5	 129	Adaptive	25.0153690433012	 2832.1269817653683	 0.16189624198439254	 0.5431279729422729	 0.00846987783925218	 -7.9799518029754	 -1.4943601911465773e-12	1.0001574735273067	 1.0007985711636944
14	 2583	Adaptive	4.080377708691096	 96.6547197629462	 0.16278532591908654	 0.3301810102596927	 0.05683543126647893	 -5.0137412686037806	 -0.052117178084717684	1.0015652457320667	 1.0009699473748195
15	 2586	Adaptive	2.253133111515763	 46.298093041376056	 0.14861883987533472	 0.285315686116056	 0.07661216620748972	 -5.155994024148409	 -0.12879770342383692	1.0002825744068566	 0.9997913220986221
10	 172	Adaptive	38.043066104861516	 5704.933740947947	 0.1460718269335459	 0.5897698221226316	 0.006068626304298783	 -6.103236472551259	 -1.1102230246251565e-16	0.9998549496961896	 0.9996660880246704
7	 146	Adaptive	75.60924199082012	 15447.581366745013	 0.1623571737424542	 0.5508946514507163	 0.0037354780089766905	 -6.89672369782293	 0.0	1.0017023211125988	 1.0010101364797546
12	 193	Adaptive	33.13460405437128	 3740.73686393264	 0.14541123386906632	 0.4575941501966734	 0.0064308465485501285	 -5.643798476835327	 0.0	1.0018219454053312	 0.9997317113539461
16	 2655	Adaptive	2.178320274759932	 45.62254046499084	 0.17009676963289577	 0.40049310380214287	 0.10230506795112969	 -5.20165512857167	 -0.2076758138966782	0.999759037832621	 1.0001396680826287
17	 2923	Adaptive	3.7541463769551044	 82.06898621555618	 0.14975095343749373	 0.516155023312977	 0.10680011336191061	 -4.101273056326868	 -0.2494332338715589	1.00002086160516	 0.9996540468108199
19	 3131	Adaptive	2.2083647647594162	 43.66758112791748	 0.15831587245070097	 0.33833785743099426	 0.10005679381418751	 -4.740158051150978	 -0.3485218464336074	0.9998431186709983	 1.0008237994555274
18	 3123	Adaptive	4.471421199879171	 111.87495306777492	 0.12065111439005335	 0.5373793698794632	 0.08458148975077974	 -4.711150398751634	 -0.15462584789667003	1.0002506284279313	 1.0003347571269743
20	 3643	Adaptive	12.300456308997134	 486.86069902109625	 0.11305783183067017	 0.6057119150216947	 0.0411004323656208	 -4.225834875372145	 -0.010581175343439761	1.0010031625405	 1.0008361440842248
22	 3994	Adaptive	2.2628568826649973	 48.61911649936655	 0.1422531485964512	 0.4373910549988214	 0.09585955608200869	 -5.458453261933143	 -0.1373080194844454	1.0001744908088417	 1.0002257705155786
26	 5489	Adaptive	12.2394083209272	 491.0954891941961	 0.1134675324375049	 0.5951530573481099	 0.036969182362757445	 -4.552740082802765	 -0.0011460058819213017	1.0003693789794605	 1.000336983289396
24	 4484	Adaptive	5.090753132997909	 116.71410868722882	 0.13974020129554598	 0.5206376854876762	 0.102914823906131	 -3.7337580673883157	 -0.21481763617482857	0.9998197374047938	 0.9996657692488198
21	 3864	Adaptive	2.331049418377589	 44.93355346656203	 0.15492014822660638	 0.3129181896024761	 0.08863375454127366	 -4.880234064202231	 -0.13491435865751283	0.9998044603988891	 0.999692525406463
23	 4308	Adaptive	4.480243061509677	 104.83809465789852	 0.14918555059597388	 0.4359068536833635	 0.07966728217116181	 -4.204924179171673	 -0.06790768685752152	1.0004061780509603	 0.9998264936265269
25	 4573	Adaptive	4.481816378614742	 99.84961261207079	 0.13991436398923565	 0.4660826410148511	 0.09353577394155746	 -3.8836577708930076	 -0.31102916413770204	0.9998829275505131	 1.0002489020587924
28	 5948	Adaptive	9.3480213696632	 316.48146130738184	 0.10726104876655189	 0.6901157090310776	 0.061401207355707164	 -4.411281327303117	 -0.02951903282496857	1.0024399743059667	 0.9998773129177944
27	 5790	Adaptive	2.9965466455532	 69.23923022765514	 0.16493853840129913	 0.4308919810992589	 0.08799655145590198	 -5.138689881053626	 -0.026730281796606113	1.0000011925417152	 0.9998694242089562
29	 7627	Adaptive	3.9540923755167974	 99.5400985698066	 0.1706267469890216	 0.37568339488984726	 0.06847082482871089	 -5.585201112639779	 -0.02682022370390508	1.0009143033920622	 0.9999714065222702
31	 9271	Adaptive	5.093736398624379	 115.53202354831373	 0.13877666559681076	 0.32716225979271696	 0.049220762017662206	 -4.737249251905226	 -0.03132024535631957	0.9998056176987321	 0.9996998769862175
32	 9294	Adaptive	4.484673666204712	 97.71002199982327	 0.1419873389866711	 0.450864029886805	 0.09978903410959347	 -3.7899661560966007	 -0.05687780961581345	1.0001502919035077	 0.9998770625769247
30	 8530	Adaptive	2.3170253190602526	 44.0394097537531	 0.147261036304769	 0.31158266486048386	 0.08842153367991375	 -4.865076466334388	 -0.14938701941585147	0.9996470790280183	 1.0004232103015087
33	 9376	Adaptive	7.563834046548629	 216.23773783875174	 0.1242803444512333	 0.5828198079093887	 0.06848373374478767	 -4.395372336824591	 -0.008685601893672937	1.000903562323969	 1.0002525965448565
34	 0	Adaptive	51.12633346672425	 5130.7017789789115	 0.09560727994847752	 0.34528759069910847	 0.0019291712005414042	 -4.898032742583977	 0.0	0.9999495910441927	 1.0006735686559707
37	 3	Adaptive	89.6953525172358	 22839.999353855066	 0.08800570979650345	 0.5893645605003248	 0.0007579469657798579	 -5.112827148033362	 0.0	1.0008056931157465	 1.000456662046701
40	 8	Adaptive	80.38656905979997	 17737.7321405474	 0.0836147603481147	 0.5410205737650898	 0.0007430926607140346	 -4.36710598612609	 0.0	0.999697382318424	 0.9997069228647606
39	 5	Adaptive	30.697741091036555	 2406.880066983874	 0.08415097523342335	 0.413653324362282	 0.0035526666657140437	 -4.095848032125145	 -2.3090766454597063e-08	1.0004558585567946	 1.0002223226052733
