listID	 BCID	 TAG	 k	 theta	 log_normalization	 log_prob_survive_cummulated	 Rhat_cellnum
0	313	Unknown	2.417181200777966	17.931266452132952	-3.6756948807660943	-0.9464211579797199	0.9998842957014008
1	1312	Unknown	2.49351545087779	17.97961911237337	-3.653012469532144	-1.1064258547400732	0.9996940110711356
3	2753	Unknown	11.186105086244591	18.65089330038131	-3.132796285608035	-1.303154118472717	0.9997358373528715
5	3232	Unknown	2.4237426267674773	18.044913953872555	-3.700377456404427	-0.8224152650977788	0.9996388006515947
2	1677	Unknown	5.571541541855687	19.98074446162279	-2.5673668311141524	-0.8184237288535756	0.9997310150358186
7	3585	Unknown	2.4240851259643947	18.587253199208185	-3.667657920267927	-0.9403676149945219	1.0002982636912277
8	4174	Unknown	5.4319395235201915	20.03638248811988	-2.563538588553374	-0.8170712236506397	1.0002839002700523
6	3580	Unknown	5.005401602626087	18.882660055255297	-2.6284517349275713	-0.8250961724874555	1.0000005054583996
9	4563	Unknown	2.3693312524154044	18.145887041230765	-3.6978870166598155	-0.8307659302258716	1.0000592573330833
4	2973	Unknown	2.3820946412149158	18.472586125139873	-3.695941410616304	-0.8148175109012673	0.9999188444260327
14	7677	Unknown	6.613390696644034	19.077382280442823	-2.5418351036582463	-0.9365527691617216	0.9997436584224318
13	7493	Unknown	2.482662781645611	18.05870634413328	-3.7106106006836437	-0.818501614777026	1.0002348825908973
10	4800	Unknown	7.152452232845079	19.909150949964815	-2.606356436197184	-0.8234841276315702	1.0000155348267556
16	8542	Unknown	2.239281536060883	19.354419844699063	-3.6834586737445814	-0.8248432294102334	0.9996757793860587
11	5570	Unknown	2.4863560328221026	18.318219829864656	-3.649012243038339	-1.1019163909610616	0.9997568836665108
12	7029	Unknown	6.487660746409531	19.42291060673951	-2.5297027349593715	-0.9485193914452197	0.9997685075548673
15	7754	Unknown	2.552374369947531	18.455563931485752	-3.6289838578232807	-1.3009312037518237	1.0010382754935976
17	9733	Unknown	2.338811220490876	18.15969815883273	-3.6956063349701793	-0.8214859304885733	1.0005711183524992
18	7	Unknown	10.689527124045902	22.909111452344305	-3.3558974567654936	-0.9622424402550045	1.0005599983694007
20	253	Unknown	2.4467671433558404	17.73981570766804	-3.6878622148680242	-0.8972966855370935	1.0020650438020486
19	138	Unknown	2.2803334848228243	18.23775500049806	-3.7101337033496247	-0.7719619960757008	1.0003595183847611
22	382	Unknown	5.43706752288476	20.294981269622266	-2.5698911793683195	-0.8064006180682112	1.0012993370362875
21	347	Unknown	2.291349438349496	18.79529205403635	-3.6838614342382803	-0.8501619692102476	1.0011795574129971
27	575	Unknown	9.144297875865899	20.523498949595176	-2.86293734151718	-0.7763576883658658	1.0006963509113973
25	462	Unknown	2.3004135960394168	18.625705769499177	-3.6955533139668213	-0.8100359938088895	1.0009020265317
23	399	Unknown	10.267422744449327	19.30384171117561	-2.9753501730962384	-1.1145444222996768	1.0017112355424547
24	447	Unknown	4.2919351436770015	18.21885224216526	-2.7025308311524285	-1.037751300263164	1.002039501992675
29	645	Unknown	13.873447730013536	20.98919391721423	-4.08111204649207	-1.1013279726324607	1.000800651652347
30	744	Unknown	8.92904176911682	21.2392529717187	-2.8716910818003534	-0.7081636670174484	1.000463751038014
26	463	Unknown	2.2948046402915634	18.69134174579145	-3.7081910198315122	-0.7695586869422605	1.0015857329028792
32	847	Unknown	9.422620663315724	19.484928648616837	-2.860982745995487	-0.9084701738465659	1.0002140033649216
28	582	Unknown	10.456304829363303	18.74618273947948	-2.9806037640933125	-1.1224070612932011	1.0002159722560067
31	830	Unknown	13.078569010742207	20.584727858885106	-3.691381133990161	-0.9340615759125311	1.0005164104932327
33	872	Unknown	2.2531894234765772	19.386866290746767	-3.7336449498753255	-0.6692095142432918	1.002387521619223
34	892	Unknown	2.2293247648126853	19.49697288166303	-3.6778238181954594	-0.8463619919339895	0.9997760870609034
36	1234	Unknown	4.884733792959237	19.02231068814855	-2.6464519449298867	-0.8011740922670654	1.0004667187169418
35	916	Unknown	2.511812104429746	17.006154333364822	-3.6981140228537135	-0.9060241547249513	1.0009738872741283
37	1242	Unknown	13.980295220702969	21.923052551296156	-3.9350499190217434	-0.803669367533194	1.0003170137560582
38	1519	Unknown	2.3218943155366993	18.3838386974785	-3.713619435765764	-0.7641112277417518	1.00022792436251
41	1591	Unknown	2.408559952505175	18.114109141767575	-3.6766771473027173	-0.9277737942565571	1.0011059482355467
42	1614	Unknown	6.5656178973218156	19.051861106089795	-2.552467779824004	-0.9253332396727186	0.999803060492406
39	1558	Unknown	4.053509376362909	19.071437969219133	-2.8084037549518834	-0.7378945273614587	1.001215887389947
40	1587	Unknown	2.559261177257881	17.408464086199015	-3.6502749284840665	-1.2045118828180437	0.9999490349917861
43	1621	Unknown	2.1051032160647636	20.540806165296374	-3.7174193138194846	-0.6834374103176432	0.9997737869997421
45	1696	Unknown	2.320565500064861	18.938469720527202	-3.675142945651865	-0.8877793523958761	1.0006197431155506
44	1681	Unknown	2.5422807192179966	17.29795644067718	-3.687172125357131	-0.9365707743095241	1.0000938513680635
48	1925	Unknown	4.699142387773411	20.066644405489612	-2.6650244181975635	-0.7373719329904284	0.9999470779321606
47	1870	Unknown	4.9624925733918435	18.937160396644813	-2.5877965842627306	-0.9428110967610597	1.0006195984062858
46	1712	Unknown	2.295774177673913	18.63354500360976	-3.7579764617478757	-0.6403423836464442	1.00033020576594
50	2172	Unknown	2.4572017693411112	18.53313036774989	-3.646237850050655	-1.099866581681613	0.9999649696716422
49	2093	Unknown	4.063455843709645	18.857182842109996	-2.821156615883021	-0.7180287565781336	1.0005691253590752
