listID	  BCID	TAG	 k	 a	 b	 s_mean	 s_var	 log_normalization 	 log_prob_survive_cummulated	 Rhat_cellnum	 Rhat_selection
121	 6073	Neutral	2.767543025813479	 39.30691469582112	 0.08503859407776228	 0.38488764942295955	 0.12051097008269646	 -3.361070237792136	 -0.9011951541992509	1.0003672253695433	 1.0018376494188947
122	 6442	Neutral	8.934116792140221	 183.81959554392134	 0.16589581650070293	 0.7531819534211746	 0.18231137561318508	 -3.3200819531565027	 -0.8495484105787211	1.001012308632432	 1.0011499680234226
117	 5613	Neutral	2.790037561378879	 39.57986535565127	 0.04340201510047932	 0.37932923455572043	 0.10481265837926576	 -3.3676441934651105	 -0.5800740431748083	1.0003064793447056	 1.0118090375996693
118	 5883	Neutral	2.387786592444753	 38.598613543386506	 0.06339510511270267	 0.35069122891924487	 0.08932519834689506	 -3.4336453605326116	 -0.5662032218087617	1.000094790359651	 1.006053573064848
120	 5967	Neutral	2.5819496758226634	 39.07577359946397	 0.07580338076989003	 0.3914737036986693	 0.11366054998804773	 -3.361927819828198	 -1.120582683122268	0.9998083603034141	 0.9998387556961444
119	 5948	Neutral	2.9222567523063194	 40.016783539697435	 0.061142058210041046	 0.4245629151128349	 0.1290297712888067	 -3.419221523464195	 -1.2455265302095715	1.001444138629086	 1.0047106264599646
124	 6631	Neutral	5.845046323580123	 99.58104770032404	 0.10255203050096952	 0.4744844840640208	 0.13027838688068327	 -2.9563390698247662	 -0.4328615165454611	1.0005569001915966	 1.0019557430615178
125	 6642	Neutral	6.3981154714489055	 116.05010048995554	 0.1297834044264905	 0.5624278692791932	 0.1563735493577281	 -3.0185784587997566	 -0.8417312001926385	1.000196883985851	 1.0033169502907406
126	 6691	Neutral	2.661966142762061	 40.06663755222449	 0.08294026728574408	 0.3877613841005252	 0.11310379547579609	 -3.3042200735101384	 -1.2924623059232911	1.0002761745731787	 1.0000726077373023
110	 4457	Neutral	5.150581548353776	 82.35236874027648	 0.12032579585284194	 0.43247310856170534	 0.12288304638486043	 -2.8272037449102876	 -0.7391717590394077	1.001334562982476	 1.0016734396964455
131	 6993	Neutral	2.568305091886401	 38.56366592785465	 0.08300837663171087	 0.39785803297279965	 0.11761225658931697	 -3.3294677924752367	 -0.9535175715152783	1.0022225265257705	 1.001512563338801
130	 6971	Neutral	5.674665911022478	 82.88462771745509	 0.11393989712327672	 0.46274300060294743	 0.12976118817969595	 -2.8155280987112743	 -0.7484540391507543	1.0001963163703917	 1.003286205959507
